id,po_line_id,canonical_line_key,site_id,outcome_window_start,outcome_window_end,generator_version,seed_reference,material_late,attributed_stockout,adverse_baseline,adverse_realised,operational_impact,residual_exposure_quantity,urgent_intervention_required,disruption_severity,outcome_onset,observable_source_signal,opportunity_class,scenario_ids
749abf77-8b67-59f2-9932-a80df3f38993,bc1b72de-5c04-5c9e-a521-5dafe99d39ad,POL-00000001,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2025-11-13,2026-01-04,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,
de83eeaa-bafe-51ed-8b45-c42861db67ea,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,POL-00000002,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2024-11-15,2025-01-05,1.0.0,1.0.0:20260720:outcome,true,false,true,true,moderate,487.1630,true,moderate,2024-12-05,true,true_positive_opportunity,
a51046d2-5884-50e6-8b35-e81d30df430b,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,POL-00000003,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2025-02-15,2025-05-17,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,demand_shock
5eb15048-0e02-55d3-8c2b-446483b05d64,5f1ef0f1-e915-5eea-80fc-279e37c35736,POL-00000004,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2024-12-22,2025-03-10,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,
c587c752-fc2e-5cbd-910f-4f6aff35a581,9bb31f47-5933-5c0b-96a9-a7cab9768925,POL-00000005,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2025-06-07,2025-08-24,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,
3ad5b460-63d5-5a77-a381-03737030e81f,169c8472-68ac-5f94-a83e-4407991dbbed,POL-00000006,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2024-08-17,2024-10-30,1.0.0,1.0.0:20260720:outcome,true,false,true,true,moderate,293.6130,true,moderate,2024-10-03,false,false_negative_opportunity,
b2cd4cff-b777-5805-ad3b-39655574efb6,a6f46d12-2805-52d3-813c-4a7419e40b54,POL-00000007,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2024-10-21,2024-12-12,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,
799fd7f7-1415-543e-aaf9-a830abaac895,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,POL-00000008,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-01-24,2026-04-10,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,true,false_positive_opportunity,split_schedule
26454a34-e6e6-5752-bf73-5f9e06c4f8b2,79420c16-afb5-56df-a2b4-d93e71e71f5d,POL-00000009,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2025-11-03,2025-12-15,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,
7cec9365-7e81-5478-b7a2-c81a0686abb8,a0a10f6d-12c8-5674-9741-c3731075b0f2,POL-00000010,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2025-03-20,2025-06-30,1.0.0,1.0.0:20260720:outcome,false,false,false,false,none,0.0000,false,none,,false,true_negative_opportunity,split_schedule
